Player,Age,Team,Pos,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl%
Tyler Davis,24,LAR,DL,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.5,1,29,6.5
Teair Tart,27,LAC,DT,1,2,2,100,9,4.5,4.5,0,45.8,-7,-14,23,0,3,3,1,1,7,29,9.4
Tershawn Wharton,26,KAN,RDT,0,3,2,66.7,33,16.5,11,0,103.5,0.3,-4,37,0,10,6,1,6.5,23,29,14.7
Deatrich Wise Jr.,30,NWE,DE,0,0,0,,0,,,0,,,0,0,0,4,3,3,5,12,29,0
Logan Hall,24,TAM,RDE,0,0,0,,0,,,0,,,0,0,0,0,4,1,5.5,10,28,3.4
Roy Lopez,27,ARI,NT,0,0,0,,0,,,0,,,0,0,0,5,2,3,1,8,28,6.7
Will McDonald,25,NYJ,LDE,0,2,2,100,8,4,4,0,83.3,-4,-8,16,3,14,12,3,10.5,38,28,15.2
Levi Onwuzurike,26,DET,DL,0,3,2,66.7,8,4,2.7,0,70.1,-4.3,-9,17,0,8,11,0,1.5,22,28,6.7
Jerry Tillery,28,MIN,LDE,0,0,0,,0,,,0,,,0,0,0,3,3,0,0,6,28,0
Felix Anudike-Uzomah,22,KAN,DE,0,1,1,100,7,7,7,0,95.8,3,3,4,0,3,4,0,2.5,10,27,6.9
Jordan Davis,24,PHI,RDT,0,0,0,,0,,,0,,,0,0,0,0,0,2,1,1,27,10
Morgan Fox,30,LAC,DL,0,0,0,,0,,,0,,,0,0,1,4,2,1,3.5,10,27,3.6
Tyree Wilson,24,LVR,DE,0,3,2,66.7,11,5.5,3.7,0,72.9,-3,-2,13,0,7,5,0,4.5,17,27,18.2
Derek Barnett,28,HOU,DE,0,1,0,0,0,,0,0,39.6,-7,0,0,0,3,4,0,5,12,26,3.7
Byron Cowart,28,CHI,DT,0,1,1,100,23,23,23,0,118.7,0,0,23,0,2,1,0,2.5,6,26,13.3
Zach Harrison,23,ATL,DL,0,0,0,,0,,,0,,,0,0,0,5,0,1,1,6,26,3.7
Solomon Thomas,29,NYJ,DL,0,2,1,50,-4,-4,-2,0,56.2,-2.5,-4,0,0,5,2,1,3.5,11,26,23.5
Dalvin Tomlinson,30,CLE,LDT,0,0,0,,0,,,0,,,0,0,0,2,14,0,3,20,26,7.1
Bryan Bresee,23,NOR,DT,0,0,0,,0,,,0,,,0,0,0,4,7,3,7.5,19,25,16.7
Mike Pennel,33,KAN,NT,0,1,1,100,21,21,21,0,118.7,0,0,21,0,1,0,0,3,4,25,0
Karl Brooks,24,GNB,DL,0,1,1,100,-5,-5,-5,0,79.2,-5,-5,0,0,4,2,2,3.5,10,24,7.7
Benito Jones,27,MIA,RDE,0,1,1,100,6,6,6,0,91.7,-4,-4,10,0,1,2,0,0,3,24,11.1
Milton Williams,25,PHI,DT,0,0,0,,0,,,0,,,0,0,0,2,4,1,5,12,24,11.1
DaQuan Jones,33,BUF,RDT,0,2,1,50,-3,-3,-1.5,0,56.2,-4.5,-5,2,0,1,4,1,2.5,8,23,8
Ogbonnia Okoronkwo,29,CLE,DE,0,2,2,100,16,8,8,0,100,0,0,16,8,2,4,0,3,9,23,14.8
D.J. Reader,30,DET,LDT,0,0,0,,0,,,0,,,0,0,0,1,5,1,3,9,23,8
Chris Williams,26,CHI,DT,0,2,0,0,0,,0,0,39.6,-3,0,0,0,0,4,0,3,7,23,14.8
Austin Booker,22,CHI,DL,0,1,1,100,13,13,13,0,118.7,-2,-2,15,0,1,3,0,1.5,6,21,16
Elijah Chatman,24,NYG,DT,0,0,0,,0,,,0,,,0,0,0,1,2,0,1,4,21,0
Payton Turner,25,NOR,DE,0,0,0,,0,,,0,,,0,0,0,6,1,1,2,9,21,16
Broderick Washington Jr.,28,BAL,DT,0,0,0,,0,,,0,,,0,0,0,4,0,2,2,6,21,16
Taven Bryan,28,IND,DT,0,0,0,,0,,,0,,,0,0,0,2,1,0,1,4,20,4.8
James Lynch,25,TEN,DL,0,0,0,,0,,,0,,,0,0,0,1,1,1,1,3,20,0
Moro Ojomo,23,PHI,DT,0,1,1,100,2,2,2,0,79.2,0,0,2,0,2,5,0,0,7,20,9.1
Roy Robertson-Harris,31,2TM,DT,0,1,0,0,0,,0,0,39.6,-7,0,0,0,2,3,1,2,7,20,16.7
Jordan Elliott,27,SFO,RDT,0,1,1,100,4,4,4,0,83.3,-2,-2,6,0,0,2,0,0,2,19,0
Austin Johnson,30,BUF,DT,2,1,0,0,0,,0,0,0,-6,0,0,0,2,1,0,0.5,4,19,5
Linval Joseph,36,DAL,DT,0,1,1,100,3,3,3,0,79.2,-2,-2,5,0,0,1,0,2,3,19,0
Thomas Booker,25,PHI,DT,0,0,0,,0,,,0,,,0,0,0,0,0,0,1,2,18,0
Jalyn Holmes,28,2TM,DL,0,0,0,,0,,,0,,,0,0,0,0,1,0,2,3,18,0
Greg Gaines,28,TAM,DL,0,1,1,100,1,1,1,0,79.2,-5,-5,6,0,1,3,0,1,5,17,5.6
Jordan Jackson,26,DEN,DL,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,2,17,0
Isaiahh Loudermilk,27,PIT,DT,0,1,1,100,12,12,12,0,116.7,-6,-6,18,0,0,0,1,0,0,17,10.5
Isaiah Foskey,24,NOR,DE,0,0,0,,0,,,0,,,0,0,4,0,0,0,0,0,16,0
Eddie Goldman,30,ATL,NT,0,0,0,,0,,,0,,,0,0,0,0,2,0,1,3,16,15.8
Raekwon Davis,27,IND,DT,0,1,1,100,-2,-2,-2,0,79.2,-3,-3,1,0,1,0,0,0,1,15,0
Carl Lawson,29,DAL,DE,0,1,1,100,1,1,1,0,79.2,0,0,1,5,5,8,0,5,19,15,6.3
William Gholston,33,TAM,DL,0,0,0,,0,,,0,,,0,0,0,1,3,0,1,5,12,0
Arron Mosby,25,GNB,DL,0,2,0,0,0,,0,0,39.6,4,0,0,0,2,1,1,0.5,4,12,7.7
Carlos Watkins,31,DAL,DE,0,0,0,,0,,,0,,,0,0,0,2,0,0,0,2,12,0
Derrick Nnadi,28,KAN,DT,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,11,15.4
Adetomiwa Adebawore,23,IND,DT,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,2,7,12.5
Mike Morris,23,SEA,DE,0,0,0,,0,,,0,,,0,0,0,1,0,0,0,1,5,0
