Player,Age,Team,Pos,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl%
Ashtyn Davis,28,NYJ,S,2,20,14,70,138,9.9,6.9,1,66.2,5.9,55,83,5,1,0,0,0,1,35,7.9
Josh Hayes,25,TAM,DB,0,33,22,66.7,216,9.8,6.5,4,124.5,9.7,137,79,2,0,0,0,0,0,35,5.4
Clark Phillips,23,ATL,CB,1,43,32,74.4,308,9.6,7.2,3,107.5,8.1,185,123,0,0,0,0,0,0,35,14.6
Dell Pettus,23,NWE,S,0,14,9,64.3,87,9.7,6.2,0,81.5,7.9,48,39,5,0,0,0,1,1,34,0
Christian Roland-Wallace,23,KAN,CB,1,18,15,83.3,153,10.2,8.5,2,116,6.7,91,62,14,1,2,0,0,3,34,0
Devon Key,27,DEN,DB,0,11,5,45.5,95,19,8.6,2,115.5,13.5,45,50,2,0,0,0,1,1,33,2.9
Nate Wiggins,21,BAL,CB,1,62,31,50,441,14.2,7.1,0,66.7,12.1,336,105,1,1,0,0,0,1,33,10.8
Joshua Williams,25,KAN,CB,0,31,16,51.6,160,10,5.2,1,77.4,10.6,85,75,2,0,0,0,1,1,33,8.3
Carrington Valentine,23,GNB,CB,2,30,23,76.7,302,13.1,10.1,0,80.1,8.5,150,152,1,0,0,0,0,0,32,11.1
Damontae Kazee,31,PIT,S,1,14,11,78.6,182,16.5,13,1,112.8,10.9,129,53,0,0,0,0,0,0,31,3.1
Josh Newton,24,CIN,RCB,1,55,31,56.4,382,12.3,6.9,4,94.7,9,228,154,1,0,0,0,0,0,31,16.2
Darnay Holmes,26,LVR,CB,0,32,24,75,233,9.7,7.3,1,105.3,6.6,117,116,13,1,0,0,1,2,30,9.1
Jaden Hicks,22,KAN,DB,3,20,12,60,144,12,7.2,1,59.2,11.9,96,48,7,1,0,0,0,1,29,3.3
Thomas Harper,24,LVR,S,1,8,3,37.5,52,17.3,6.5,0,20.8,8.3,35,17,2,0,0,0,0.5,1,26,3.7
Isaiah Rodgers,26,PHI,CB,0,28,13,46.4,118,9.1,4.2,2,82.1,11.5,68,50,0,0,0,0,0,0,26,7.1
J.T. Gray,28,NOR,DB,0,1,1,100,36,36,36,1,158.3,2,2,34,1,0,0,0,0,0,25,7.4
Nick McCloud,26,2TM,CB,0,20,18,90,262,14.6,13.1,3,158.3,8.2,146,33,4,0,0,0,0,0,25,3.8
Ja'Marcus Ingram,27,BUF,CB,2,21,11,52.4,149,13.5,7.1,1,51.6,9.1,81,68,3,0,0,0,1,1,24,11.1
Cameron Mitchell,23,CLE,CB,0,36,24,66.7,276,11.5,7.7,3,117.4,7.6,151,125,3,1,0,0,0,1,24,29.4
James Pierre,28,PIT,CB,1,16,8,50,93,11.6,5.8,2,81.5,8.3,62,31,0,0,0,0,0,0,23,4.2
Ja'Sir Taylor,25,LAC,DB,0,31,21,67.7,309,14.7,10,5,139.7,10.5,221,88,8,0,1,0,0,1,22,8.3
Isaiah Simmons,26,NYG,S,0,15,13,86.7,139,10.7,9.3,2,144.9,3.5,45,94,16,2,1,0,0,3,21,12.5
Avonte Maddox,28,PHI,CB,0,28,15,53.6,126,8.4,4.5,1,77.4,5.9,40,86,1,0,0,1,0,0,20,4.8
Jeremy Reaves,28,WAS,S,0,1,1,100,16,16,16,0,118.7,-2,-2,18,0,0,0,0,0,0,20,0
D'Anthony Bell,28,CLE,S,0,1,1,100,6,6,6,0,91.7,4,4,2,4,0,1,0,0,1,19,5
